"","phrase","group","K","N","prop","lower","upper","median"
"103","""an increasing trend""","<0.05",56,134,0.417910447761194,0.334305212933767,0.506292636439014,NA
"104","""an increasing trend""",">=0.05-0.15",55,134,0.41044776119403,0.327270883854875,0.498836425316603,"0.05 (0.01–0.085)"
"105","""an increasing trend""",">=0.15",23,134,0.171641791044776,0.114083114324029,0.248546040657875,NA
"106","""an interesting trend""",">=0.05-0.15",1,4,0.25,0.0131911618237266,0.780573479934637,"0.112 (0.093–0.136)"
"107","""an interesting trend""",">=0.15",3,4,0.75,0.219426520065363,0.986808838176273,NA
"108","""an observed trend""",">=0.05-0.15",3,4,0.75,0.219426520065363,0.986808838176273,"0.078 (0.064–0.225)"
"109","""an observed trend""",">=0.15",1,4,0.25,0.0131911618237266,0.780573479934637,NA
"110","""an obvious trend""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.065 (0.058–0.292)"
"111","""an obvious trend""",">=0.15",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"112","""an overall trend""","<0.05",5,25,0.2,0.0760753834311495,0.413007092501001,NA
"113","""an overall trend""",">=0.05-0.15",15,25,0.6,0.388903024240019,0.781880790329695,"0.063 (0.053–0.09)"
"114","""an overall trend""",">=0.15",5,25,0.2,0.0760753834311495,0.413007092501001,NA
"115","""an unexpected trend""","<0.05",1,4,0.25,0.0131911618237266,0.780573479934637,NA
"116","""an unexpected trend""",">=0.05-0.15",3,4,0.75,0.219426520065363,0.986808838176273,"0.062 (0.05–0.073)"
"117","""an unfavorable trend""",">=0.15",2,2,1,0.197867455762311,1,NA
"118","""appeared to be marginally significant""","<0.05",1,3,0.333333333333333,0.0176527942786535,0.874665528089737,NA
"119","""appeared to be marginally significant""",">=0.05-0.15",2,3,0.666666666666667,0.125334471910263,0.982347205721347,"0.07 (0.042–0.071)"
"120","""approached conventional levels of significance""",">=0.05-0.15",15,16,0.9375,0.677146212236031,0.996728813077141,"0.062 (0.057–0.072)"
"121","""approached conventional levels of significance""",">=0.15",1,16,0.0625,0.00327118692285882,0.322853787763969,NA
"122","""approached our criterion of significance""",">=0.05-0.15",1,2,0.5,0.0945312057342307,0.905468794265769,"0.09 (0.085–0.095)"
"123","""approached our criterion of significance""",">=0.15",1,2,0.5,0.0945312057342307,0.905468794265769,NA
"124","""approached significant""","<0.05",1,30,0.0333333333333333,0.00174246705238487,0.190530216347821,NA
"125","""approached significant""",">=0.05-0.15",26,30,0.866666666666667,0.683576170033042,0.956402916348662,"0.068 (0.058–0.08)"
"126","""approached significant""",">=0.15",3,30,0.1,0.026188292276544,0.276763184448704,NA
"127","""approaches statistical significance""","<0.05",1,68,0.0147058823529412,0.000768127672296204,0.0901192479606744,NA
"128","""approaches statistical significance""",">=0.05-0.15",55,68,0.808823529411765,0.691713097043319,0.890419753078848,"0.07 (0.055–0.083)"
"129","""approaches statistical significance""",">=0.15",12,68,0.176470588235294,0.098341972298696,0.291879568819481,NA
"130","""approaching borderline significance""",">=0.15",1,1,1,0.054620755528852,1,NA
"131","""approaching conventional statistical significance""",">=0.05-0.15",2,2,1,0.197867455762311,1,"0.066 (0.058–0.073)"
"132","""approaching marginal significance""","<0.05",1,1,1,0.054620755528852,1,NA
"133","""approaching significance""","<0.05",21,349,0.0601719197707736,0.0385429174304315,0.0919149946645008,NA
"134","""approaching significance""",">=0.05-0.15",278,349,0.796561604584527,0.749680294278494,0.836768242105678,"0.065 (0.057–0.08)"
"135","""approaching significance""",">=0.15",50,349,0.143266475644699,0.109122261842375,0.185477785838667,NA
"136","""approximately significant""",">=0.05-0.15",2,2,1,0.197867455762311,1,"0.055 (0.053–0.058)"
"137","""at the edge of significance""","<0.05",1,4,0.25,0.0131911618237266,0.780573479934637,NA
"138","""at the edge of significance""",">=0.05-0.15",3,4,0.75,0.219426520065363,0.986808838176273,"0.054 (0.048–0.055)"
"139","""at the limit of significance""","<0.05",3,29,0.103448275862069,0.027104645478138,0.284981527045793,NA
"140","""at the limit of significance""",">=0.05-0.15",25,29,0.862068965517241,0.674259167585823,0.954866507494266,"0.058 (0.053–0.07)"
"141","""at the limit of significance""",">=0.15",1,29,0.0344827586206897,0.00180264021327967,0.196281751009759,NA
"142","""at the margin of statistical significance""","<0.05",2,5,0.4,0.0725840399856634,0.829576419356412,NA
"143","""at the margin of statistical significance""",">=0.05-0.15",3,5,0.6,0.170423580643588,0.927415960014337,"0.05 (0.047–0.06)"
"144","""at the verge of significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.05 (0.05–0.05)"
"145","""barely escaped statistical significance""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.06 (0.06–0.06)"
"146","""barely missed statistical significance""","<0.05",1,6,0.166666666666667,0.00876229113212806,0.635177439262661,NA
"147","""barely missed statistical significance""",">=0.05-0.15",5,6,0.833333333333333,0.364822560737339,0.991237708867872,"0.052 (0.051–0.056)"
"148","""barely significant""","<0.05",17,38,0.447368421052632,0.289945713731054,0.615221715154331,NA
"149","""barely significant""",">=0.05-0.15",19,38,0.5,0.348499283643951,0.651500716356049,"0.05 (0.048–0.052)"
"150","""barely significant""",">=0.15",2,38,0.0526315789473684,0.00916880660840129,0.190695154912588,NA
"151","""bordered on being significant""",">=0.05-0.15",1,1,1,0.054620755528852,1,"0.05 (0.05–0.05)"
"152","""borderline significant trends""","<0.05",1,2,0.5,0.0945312057342307,0.905468794265769,NA
"153","""borderline significant trends""",">=0.05-0.15",1,2,0.5,0.0945312057342307,0.905468794265769,"0.045 (0.038–0.052)"
